 lw_rev_total, lw_rev_phase
33807188.044,13020966.462
6361125.325,2011862.7
30882129.884,9930068.049
4979036,698496
5431930.175,1578928.975
10029174.55,<none>
27507008.084,9190660.325
8246877.4,1897769.825
6919023.225,4658636.225
3200895,1387144
2934027.675,2237707.675
54686,44012
<none>,<none>
1658380,623157
977228,208747
9669144.433,6485689.433
269889,149768
11477040.311,6376847.436
<none>,<none>
6600,<none>
6096676.475,1990485.15
17147635.025,6642656.075
2698591.3,1021452.85
2551720.15,520120
3422563.95,1699438.95
16999646.712,10816557.363
<none>,<none>
2790898,2564794
6834187.975,2846075.2
3900169.25,752750
128021,<none>
9809796.575,2303884.775
2510304,490058
2939664,1576445
985612,386523
1356266,180255
16250763.807,7093321.132
4743654,2136740
681072,468973
38100202.366,12757145.611
2145076.375,130369
3050301.25,<none>
7304012.75,3171118
<none>,<none>
1449891,229672
<none>,<none>
2218999,1095289
12168486.85,6439514.475
794403,375588
<none>,<none>
<none>,<none>
1429294,136910
<none>,<none>
<none>,<none>
4548794,742122
<none>,<none>
<none>,<none>
1170532,574752
2348617,321272
627199,<none>
497360,237360
11265837.775,2023011.875
<none>,<none>
9963307.475,3939375.225
22178170.05,6448996.625
14626501.396,6525740.246
8329251,3083879
1439645.775,1237463.775
<none>,<none>
<none>,<none>
1014144,339108
488160,219200
<none>,<none>
1783584,671872
6287136,2549839
2504744,578888
24868182.204,5597378.225
1420018,<none>
8298585,3000537
372160,<none>
5881501.875,2059666.275
7021687.875,2685078.2
4649877.7,<none>
5108066.375,988114.45
823250,<none>
19441528.853,1070821
6600,6600
<none>,<none>
2843217,1457009
15273416.625,5920352.8
835908,265600
378630,378630
<none>,<none>
1166549,1166549
1610489,704101
<none>,<none>
<none>,<none>
<none>,<none>
2542667,1318351
<none>,<none>
473751,93300
<none>,<none>
1407067,188920
<none>,<none>
<none>,<none>
<none>,<none>
<none>,<none>
3455056.75,3455056.75
<none>,<none>
476000,<none>
<none>,<none>
<none>,<none>
1143081,969256
125526,6721
<none>,<none>
32000043.887,11981435.989
<none>,<none>
<none>,<none>
94000,<none>
<none>,<none>
<none>,<none>
1885696,417617
<none>,<none>
<none>,<none>
<none>,<none>
<none>,<none>
96200,<none>
721033,<none>
<none>,<none>
2490610.95,1398601.95
<none>,<none>
<none>,<none>
<none>,<none>
<none>,<none>
93200,93200
<none>,<none>
<none>,<none>
1891362.7,1141256.7
<none>,<none>
<none>,<none>
<none>,<none>
<none>,<none>
<none>,<none>
<none>,<none>
<none>,<none>
<none>,<none>
<none>,<none>
<none>,<none>
<none>,<none>
100400,100400
