 mcmmo_power_level, mcmmo_skill_ACROBATICS, mcmmo_skill_ALCHEMY, mcmmo_skill_ARCHERY, mcmmo_skill_AXES, mcmmo_skill_CROSSBOWS, mcmmo_skill_EXCAVATION, mcmmo_skill_FISHING, mcmmo_skill_HERBALISM, mcmmo_skill_MACES, mcmmo_skill_MINING, mcmmo_skill_REPAIR, mcmmo_skill_SALVAGE, mcmmo_skill_SMELTING, mcmmo_skill_SWORDS, mcmmo_skill_TAMING, mcmmo_skill_TRIDENTS, mcmmo_skill_UNARMED, mcmmo_skill_WOODCUTTING
22866,1552.0,11.0,35.0,271.0,0.0,424.0,1129.0,15665.0,0.0,1846.0,514.0,821.0,1180.0,1218.0,0.0,0.0,180.0,21.0
12596,1331.0,0.0,2.0,56.0,0.0,418.0,630.0,7075.0,0.0,2380.0,126.0,378.0,1253.0,433.0,1.0,0.0,8.0,136.0
17217,920.0,162.0,275.0,271.0,0.0,498.0,1076.0,11193.0,0.0,1163.0,272.0,674.0,717.0,720.0,180.0,0.0,193.0,294.0
7813,516.0,0.0,24.0,1.0,0.0,419.0,198.0,4680.0,0.0,1350.0,59.0,128.0,704.0,502.0,0.0,0.0,1.0,63.0
11191,181.0,4.0,0.0,15.0,0.0,277.0,161.0,8580.0,0.0,1845.0,58.0,109.0,951.0,70.0,0.0,0.0,0.0,0.0
15708,1555.0,0.0,0.0,90.0,0.0,501.0,381.0,9103.0,0.0,3584.0,97.0,239.0,1840.0,364.0,0.0,0.0,4.0,29.0
19535,1435.0,531.0,357.0,1.0,0.0,482.0,1479.0,12600.0,0.0,1186.0,111.0,795.0,648.0,1174.0,0.0,50.0,0.0,129.0
9829,469.0,3.0,0.0,27.0,0.0,380.0,486.0,7058.0,0.0,1187.0,121.0,303.0,654.0,92.0,0.0,0.0,3.0,3.0
10808,108.0,0.0,52.0,1.0,0.0,606.0,925.0,7271.0,0.0,975.0,79.0,502.0,527.0,498.0,0.0,0.0,2.0,291.0
5050,170.0,148.0,76.0,2.0,0.0,152.0,327.0,1908.0,0.0,1525.0,402.0,364.0,963.0,230.0,89.0,0.0,0.0,21.0
8558,686.0,0.0,114.0,227.0,0.0,569.0,704.0,2874.0,169.0,1962.0,274.0,489.0,1118.0,695.0,0.0,0.0,34.0,250.0
2263,124.0,0.0,118.0,22.0,0.0,406.0,135.0,1040.0,0.0,296.0,20.0,77.0,158.0,13.0,0.0,0.0,0.0,89.0
