 chemrank, policerank, donorrank, goldrank
143,143,5,0
143,0,5,1
143,0,5,1
14,0,4,1
78,0,1,0
105,0,4,0
143,0,5,0
104,0,4,0
143,0,4,1
9,0,4,0
53,0,5,1
9,0,5,0
26,0,2,0
66,0,5,1
13,0,0,0
26,0,3,0
13,0,5,0
26,0,2,1
5,0,5,0
130,0,1,0
36,0,1,1
143,0,5,0
40,0,3,1
143,0,5,1
105,0,4,0
143,143,4,1
5,0,0,0
13,0,4,0
104,0,5,1
28,0,5,0
26,0,5,1
143,0,4,0
11,0,5,1
53,0,5,1
0,0,5,1
40,0,4,1
87,0,4,1
78,0,1,1
23,0,5,1
143,0,4,1
20,0,3,0
14,0,0,0
79,0,3,1
39,0,4,0
0,0,5,1
3,0,3,0
13,0,0,0
142,0,4,0
26,0,2,1
39,0,5,0
0,1,2,0
14,0,3,0
87,0,4,1
3,0,5,0
0,0,3,0
12,0,3,0
13,0,5,0
10,0,4,0
18,0,5,0
35,0,0,0
10,0,0,0
78,0,1,0
38,0,4,0
143,143,4,1
135,0,4,1
91,0,2,1
33,0,4,0
90,0,5,0
7,0,3,1
0,0,4,0
9,0,4,0
25,0,2,0
8,0,0,1
24,0,3,1
26,0,4,1
10,0,0,0
143,0,5,0
88,0,3,1
9,0,3,0
0,0,1,0
143,0,3,0
0,143,4,0
143,0,3,0
50,0,0,0
0,0,0,0
143,143,4,1
91,0,5,0
25,0,4,0
26,0,0,0
0,143,3,1
0,0,0,0
26,0,0,0
22,0,4,1
10,0,0,0
11,0,0,0
9,0,4,0
12,0,0,0
0,0,5,0
0,0,5,1
8,0,5,0
0,0,0,0
38,0,2,1
26,0,5,0
8,0,0,0
0,9,5,0
12,0,4,0
9,0,3,0
105,0,5,0
8,0,0,0
3,0,2,0
8,0,0,0
21,0,0,0
11,0,5,0
10,0,1,0
9,0,0,0
0,0,5,1
4,0,4,0
11,0,0,0
6,0,0,0
20,0,5,0
0,0,0,0
24,0,5,0
8,0,4,0
4,0,0,0
