 mcmmo_power_level, mcmmo_skill_ACROBATICS, mcmmo_skill_ALCHEMY, mcmmo_skill_ARCHERY, mcmmo_skill_AXES, mcmmo_skill_CROSSBOWS, mcmmo_skill_EXCAVATION, mcmmo_skill_FISHING, mcmmo_skill_HERBALISM, mcmmo_skill_MACES, mcmmo_skill_MINING, mcmmo_skill_REPAIR, mcmmo_skill_SALVAGE, mcmmo_skill_SMELTING, mcmmo_skill_SWORDS, mcmmo_skill_TAMING, mcmmo_skill_TRIDENTS, mcmmo_skill_UNARMED, mcmmo_skill_WOODCUTTING, lw_rev_total, lw_rev_phase, chemrank, policerank, donorrank, goldrank, current_month_votes, plan_player_time_total_raw, plan_player_time_month_raw, plan_player_time_week_raw, plan_player_time_day_raw, plan_player_time_afk_raw, plan_player_latest_session_length_raw, plan_player_favorite_server, plan_player_lastseen, plan_player_sessions_count, leaderboard_position_chems_all, leaderboard_position_chems_week, leaderboard_position_police_all, leaderboard_position_police_week, balance
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,151881,0,0,0,0,151881,Spawn,May 28 2025 11:04,1,0,0,0,0,0 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,271152,27730,0,0,0,27730,Spawn,Aug 12 2025 21:02,2,0,0,0,0,0 
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2279103,0,0,0,0,211110,Spawn,May 29 2025 06:08,5,499,0,0,0,32137.01 
12,5.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,992100,0,0,0,0,937237,Town,Jun 16 2025 16:29,2,0,0,0,0,0 
2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,410600,410600,410600,0,0,20810,Spawn,Saturday 00:48,7,0,0,0,0,0 
548,65.0,24.0,0.0,0.0,0.0,23.0,0.0,125.0,0.0,271.0,2.0,1.0,136.0,30.0,0.0,0.0,0.0,8.0,203920,0,6,0,5,0,0,29799399,2129887,0,0,2336186,2055972,Town,Jul 28 2025 18:50,65,495,0,0,0,63429.22 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0 
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,14714,0,0,0,0,8757,Spawn,Jul 14 2025 14:39,2,0,0,0,0,0 
6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,375208,0,0,0,0,375208,Spawn,Jun 3 2025 12:53,1,0,0,0,0,0 
2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,231276,231276,0,0,0,90864,Spawn,Aug 18 2025 03:08,2,0,0,0,0,0 
