balance,lw_rev_total,lw_rev_phase,leaderboard_position_chems_all,leaderboard_position_chems_week,leaderboard_position_police_all,leaderboard_position_police_week,mcmmo_power_level,mcmmo_skill_ACROBATICS,mcmmo_skill_ALCHEMY,mcmmo_skill_ARCHERY,mcmmo_skill_AXES,mcmmo_skill_CROSSBOWS,mcmmo_skill_EXCAVATION,mcmmo_skill_FISHING,mcmmo_skill_HERBALISM,mcmmo_skill_MACES,mcmmo_skill_MINING,mcmmo_skill_REPAIR,mcmmo_skill_SALVAGE,mcmmo_skill_SMELTING,mcmmo_skill_SWORDS,mcmmo_skill_TAMING,mcmmo_skill_TRIDENTS,mcmmo_skill_UNARMED,mcmmo_skill_WOODCUTTING,chemrank,policerank,donorrank,goldrank,current_month_votes,plan_player_time_total_raw,plan_player_time_month_raw,plan_player_time_week_raw,plan_player_time_day_raw,plan_player_time_afk_raw,plan_player_latest_session_length_raw,plan_player_favorite_server,plan_player_lastseen,plan_player_sessions_count
738528696.21,33807188.044,13020966.462,1,2,11,0,23924, 1594, 11, 35, 271, 0, 425, 1162, 16595, 0, 1849, 517, 839, 1183, 1264, 0, 0, 180, 21,143,143,5,0,28,4583947058,1197189420,321903488,44700670,1689078718,74335,Underworld-A,125580,6354
264006636.27,6361125.325,2011862.7,7,6,26,0,13361, 1350, 0, 2, 59, 0, 418, 644, 7756, 0, 2420, 130, 387, 1275, 436, 1, 0, 9, 136,143,0,5,1,14,3493687689,447396619,108368124,23185636,1794513517,331959,Underworld-A,87120,3664
230485059.89,16999646.712,10816557.363,2,1,10,0,14741, 1440, 0, 17, 1, 0, 171, 850, 9863, 114, 1613, 152, 501, 882, 515, 0, 1, 1, 3,143,143,4,0,28,3747152667,724206783,242771819,24175324,1349847901,595998,Underworld-B,87060,4043
173220939.88,30882129.884,9930068.049,5,8,0,0,18620, 921, 162, 275, 271, 0, 498, 1076, 12594, 0, 1164, 272, 674, 718, 720, 180, 0, 193, 294,143,0,5,1,7,3612639130,841453745,132062643,303703,1157949084,856,Underworld-A,140880,5051
100662520.02,27507008.084,9190660.325,3,4,0,0,20281, 1471, 531, 362, 1, 0, 482, 1565, 13171, 0, 1186, 111, 838, 648, 1221, 0, 50, 1, 129,143,0,5,0,26,3308422907,888917919,245927635,53531834,1496172420,20104375,Underworld-B,98940,4456
91088518.8,4979036.0,698496.0,39,0,19,0,7813, 516, 0, 24, 1, 0, 419, 198, 4680, 0, 1350, 59, 128, 704, 502, 0, 0, 1, 63,14,0,4,1,7,2019829998,233206000,790500,790500,1103586713,770103,Underworld-B,118140,3939
82045130.91,5431930.175,1578928.975,25,0,0,0,11191, 181, 4, 0, 15, 0, 277, 161, 8580, 0, 1845, 58, 109, 951, 70, 0, 0, 0, 0,78,0,1,0,0,3652947204,262231638,0,0,2466784685,243331,Underworld-A,2099708,2515
70508822.96,10029174.55,0.0,16,0,0,0,15708, 1555, 0, 0, 90, 0, 501, 381, 9103, 0, 3584, 97, 239, 1840, 364, 0, 0, 4, 29,105,0,4,0,0,2803436874,0,0,0,799245460,275066,Underworld-A,3861188,7028
70875863.39,3200895.0,1387144.0,58,9,0,0,7826, 443, 148, 115, 3, 0, 456, 429, 3255, 0, 1748, 479, 454, 1113, 516, 184, 0, 1, 49,13,0,4,0,28,1807555051,1324842270,543732939,94353012,1389020822,274229,Underworld-A,110220,947
5882846.68,8246877.4,1897769.825,22,5,0,0,9894, 500, 3, 0, 27, 0, 380, 486, 7092, 0, 1187, 121, 303, 654, 92, 0, 0, 3, 3,0,0,4,1,13,6167867041,1550288154,161808178,99620128,4925604112,74741,Underworld-B,104820,2214
57059717.92,6096676.475,1990485.15,18,14,0,0,7325, 45, 0, 0, 15, 0, 384, 344, 4212, 0, 1998, 202, 273, 1100, 118, 0, 0, 0, 7,36,0,1,1,20,3078372959,703542277,356844529,111762143,1776506369,11527757,Underworld-A,94320,2972
47158901.84,2934027.675,2237707.675,50,20,0,0,9255, 834, 0, 115, 227, 0, 573, 737, 2884, 506, 1981, 388, 562, 1184, 724, 0, 0, 34, 252,66,0,5,1,27,8233092556,2520487829,585886728,81829883,7645424033,70503,Underworld-B,104040,2945
39562297.44,9809796.575,2303884.775,17,11,5,0,11859, 1520, 857, 112, 11, 0, 283, 159, 6409, 26, 1178, 109, 134, 643, 994, 0, 0, 1, 200,143,0,4,0,7,2047098788,125029066,9464792,0,680623867,719219,Underworld-B,424740,2290
33657225.13,54686.0,44012.0,321,0,0,0,2329, 137, 0, 118, 22, 0, 406, 135, 1093, 0, 296, 20, 77, 158, 13, 0, 0, 0, 89,9,0,5,0,0,5765516306,2088627217,512274103,82067732,5113343930,145449,Town,106200,1439
31461356.25,1658380.0,623157.0,47,0,0,0,10354, 766, 316, 255, 5, 0, 955, 953, 3509, 92, 1486, 1057, 1005, 1271, 722, 3, 0, 2, 233,66,0,5,1,7,3330708434,5328984,2886956,0,2548162290,200185,Underworld-B,383760,2851
31266511.58,6919023.225,4658636.225,8,0,0,0,10810, 108, 0, 52, 1, 0, 608, 925, 7271, 0, 975, 79, 502, 527, 498, 0, 0, 2, 291,143,0,4,1,0,5502441988,1383202913,2860569,0,4113875404,58103,Underworld-B,388260,5521
29815908.17,977228.0,208747.0,95,0,0,0,994, 11, 0, 0, 4, 0, 35, 0, 389, 0, 555, 0, 0, 277, 0, 0, 0, 0, 0,13,0,0,0,0,4365482200,248777810,0,0,4083801147,19289533,Underworld-A,1597508,1246
29903088.55,0.0,0.0,218,0,0,0,954, 296, 65, 0, 10, 0, 24, 0, 44, 0, 495, 0, 0, 247, 4, 14, 0, 2, 0,5,0,5,0,0,7408504328,2130118603,508139580,71126726,7302963283,42773921,Underworld-A,123120,569
29397679.08,9669144.433,6485689.433,94,0,0,0,4996, 761, 0, 339, 322, 0, 186, 746, 784, 0, 876, 321, 533, 598, 553, 0, 0, 34, 74,26,0,3,0,0,1047696681,0,0,0,281891956,442699,Town,3373688,852
29337363.59,269889.0,149768.0,53,0,27,0,9777, 973, 1212, 517, 203, 36, 319, 548, 2843, 0, 740, 736, 642, 738, 975, 75, 29, 69, 502,13,0,5,0,0,1944320963,1182078,0,0,915835228,372306,Underworld-B,790808,3251
26980313.88,2698591.3,1021452.85,52,0,0,0,5357, 287, 0, 111, 23, 0, 159, 406, 3030, 0, 852, 0, 203, 426, 471, 0, 0, 1, 17,41,0,3,1,0,1438989107,108584087,5874240,0,632006548,89533,Underworld-A,486008,1875
19220023.56,11477040.311,6376847.436,79,0,0,0,6029, 1436, 0, 202, 463, 0, 334, 603, 555, 0, 1019, 34, 318, 526, 1345, 0, 0, 17, 21,26,0,2,1,27,915513115,130703705,438988,368061,473807969,317449,Spawn,117000,736
17785736.79,6600.0,0.0,30,0,28,0,5476, 114, 0, 0, 0, 0, 78, 69, 4148, 0, 1034, 16, 42, 525, 16, 0, 0, 1, 0,143,0,1,0,0,2086073023,749805631,89011763,0,1364069006,313397,Underworld-A,386760,3067
17759065.79,2551720.15,520120.0,19,0,0,0,10895, 175, 0, 0, 0, 0, 184, 0, 8709, 0, 1687, 123, 61, 905, 17, 0, 0, 0, 0,143,0,5,1,0,7637509512,1973885110,577666250,72557948,6695110537,5827395,Underworld-B,119520,3907
