balance,lw_rev_total,lw_rev_phase,leaderboard_position_chems_all,leaderboard_position_chems_week,leaderboard_position_police_all,leaderboard_position_police_week,mcmmo_power_level,mcmmo_skill_ACROBATICS,mcmmo_skill_ALCHEMY,mcmmo_skill_ARCHERY,mcmmo_skill_AXES,mcmmo_skill_CROSSBOWS,mcmmo_skill_EXCAVATION,mcmmo_skill_FISHING,mcmmo_skill_HERBALISM,mcmmo_skill_MACES,mcmmo_skill_MINING,mcmmo_skill_REPAIR,mcmmo_skill_SALVAGE,mcmmo_skill_SMELTING,mcmmo_skill_SWORDS,mcmmo_skill_TAMING,mcmmo_skill_TRIDENTS,mcmmo_skill_UNARMED,mcmmo_skill_WOODCUTTING,chemrank,policerank,donorrank,goldrank,current_month_votes,plan_player_time_total_raw,plan_player_time_month_raw,plan_player_time_week_raw,plan_player_time_day_raw,plan_player_time_afk_raw,plan_player_latest_session_length_raw,plan_player_favorite_server,plan_player_lastseen,plan_player_sessions_count
738528696.21,33807188.044,13020966.462,1,2,11,0,23924, 1594, 11, 35, 271, 0, 425, 1162, 16595, 0, 1849, 517, 839, 1183, 1264, 0, 0, 180, 21,143,143,5,0,28,4583947058,1197189420,321903488,44700670,1689078718,74335,Underworld-A,121980,6354
264006636.27,6361125.325,2011862.7,7,6,26,0,13361, 1350, 0, 2, 59, 0, 418, 644, 7756, 0, 2420, 130, 387, 1275, 436, 1, 0, 9, 136,143,0,5,1,14,3493687689,447396619,108368124,23185636,1794513517,331959,Underworld-A,83520,3664
230485059.89,16999646.712,10816557.363,2,1,10,0,14741, 1440, 0, 17, 1, 0, 171, 850, 9863, 114, 1613, 152, 501, 882, 515, 0, 1, 1, 3,143,143,4,0,28,3747152667,724206783,242771819,24175324,1349847901,595998,Underworld-B,83460,4043
173220939.88,30882129.884,9930068.049,5,8,0,0,18620, 921, 162, 275, 271, 0, 498, 1076, 12594, 0, 1164, 272, 674, 718, 720, 180, 0, 193, 294,143,0,5,1,7,3612639130,841453745,132062643,303703,1157949084,856,Underworld-A,137280,5051
100662520.02,27507008.084,9190660.325,3,4,0,0,20281, 1471, 531, 362, 1, 0, 482, 1565, 13171, 0, 1186, 111, 838, 648, 1221, 0, 50, 1, 129,143,0,5,0,26,3308422907,888917919,245927635,53531834,1496172420,20104375,Underworld-B,95340,4456
91088518.8,4979036.0,698496.0,39,0,19,0,7813, 516, 0, 24, 1, 0, 419, 198, 4680, 0, 1350, 59, 128, 704, 502, 0, 0, 1, 63,14,0,4,1,7,2019829998,233206000,790500,790500,1103586713,770103,Underworld-B,114540,3939
82045130.91,5431930.175,1578928.975,25,0,0,0,11191, 181, 4, 0, 15, 0, 277, 161, 8580, 0, 1845, 58, 109, 951, 70, 0, 0, 0, 0,78,0,1,0,0,3652947204,262231638,0,0,2466784685,243331,Underworld-A,2096108,2515
70508822.96,10029174.55,0.0,16,0,0,0,15708, 1555, 0, 0, 90, 0, 501, 381, 9103, 0, 3584, 97, 239, 1840, 364, 0, 0, 4, 29,105,0,4,0,0,2803436874,0,0,0,799245460,275066,Underworld-A,3857588,7028
70875863.39,3200895.0,1387144.0,58,9,0,0,7826, 443, 148, 115, 3, 0, 456, 429, 3255, 0, 1748, 479, 454, 1113, 516, 184, 0, 1, 49,13,0,4,0,28,1807555051,1324842270,543732939,94353012,1389020822,274229,Underworld-A,106620,947
5882846.68,8246877.4,1897769.825,22,5,0,0,9894, 500, 3, 0, 27, 0, 380, 486, 7092, 0, 1187, 121, 303, 654, 92, 0, 0, 3, 3,0,0,4,1,13,6167867041,1550288154,161808178,99620128,4925604112,74741,Underworld-B,101220,2214
