balance,lw_rev_total,lw_rev_phase,leaderboard_position_chems_all,leaderboard_position_chems_week,leaderboard_position_police_all,leaderboard_position_police_week,mcmmo_power_level,mcmmo_skill_ACROBATICS,mcmmo_skill_ALCHEMY,mcmmo_skill_ARCHERY,mcmmo_skill_AXES,mcmmo_skill_CROSSBOWS,mcmmo_skill_EXCAVATION,mcmmo_skill_FISHING,mcmmo_skill_HERBALISM,mcmmo_skill_MACES,mcmmo_skill_MINING,mcmmo_skill_REPAIR,mcmmo_skill_SALVAGE,mcmmo_skill_SMELTING,mcmmo_skill_SWORDS,mcmmo_skill_TAMING,mcmmo_skill_TRIDENTS,mcmmo_skill_UNARMED,mcmmo_skill_WOODCUTTING,chemrank,policerank,donorrank,goldrank,current_month_votes,plan_player_time_total_raw,plan_player_time_month_raw,plan_player_time_week_raw,plan_player_time_day_raw,plan_player_time_afk_raw,plan_player_latest_session_length_raw,plan_player_favorite_server,plan_player_lastseen,plan_player_sessions_count,plan_player_relativePlaytime_totalmonth,plan_player_relativePlaytime_weekmonth,plan_player_relativePlaytime_dayweek,balance_change,lw_rev_total_change,lw_rev_phase_change,leaderboard_position_chems_all_change,leaderboard_position_chems_week_change,leaderboard_position_police_all_change,leaderboard_position_police_week_change,chemrank_change,policerank_change,donorrank_change,goldrank_change,churn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,166574.0,166574.0,0.0,0.0,0.0,166574.0,Spawn,918143.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,364964.0,364964.0,0.0,0.0,0.0,364964.0,Spawn,1126343.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,219293.0,219293.0,219293.0,219293.0,0.0,219293.0,Spawn,150420.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
403997.31,4723294.0,2173132.0,109.0,46.0,0.0,0.0,4480, 1017, 54, 56, 556, 1, 86, 479, 979, 0, 487, 90, 284, 288, 369, 33, 0, 13, 260,26.0,0.0,2.0,0.0,21.0,1064338740.0,317803567.0,127959429.0,8620362.0,380485618.0,7993.0,Town,82620.0,1426.0,3.3490459218162267,0.4026368558663786,0.06736793112760764,397963.37999999995,0.0,0.0,3.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
173573.05,0.0,0.0,347.0,0.0,0.0,0.0,2297, 226, 5, 43, 140, 0, 19, 210, 463, 0, 588, 37, 123, 312, 493, 0, 0, 1, 72,6.0,0.0,0.0,0.0,0.0,266507419.0,2382040.0,150129.0,150129.0,96313377.0,150129.0,Town,82740.0,368.0,111.88200827861833,0.06302539000184716,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
224473.31,2155552.0,341556.0,116.0,0.0,0.0,0.0,2624, 174, 0, 0, 3, 0, 377, 162, 1011, 0, 797, 21, 91, 409, 19, 0, 0, 2, 58,7.0,0.0,4.0,0.0,14.0,769531743.0,504091677.0,12864156.0,0.0,307293090.0,171462.0,Underworld-B,505703.0,531.0,1.5265710149782934,0.025519477085117596,0.0,32860.850000000006,0.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
101840.06,6600.0,0.0,249.0,29.0,0.0,0.0,480, 60, 0, 13, 1, 0, 41, 50, 59, 0, 196, 4, 27, 100, 39, 0, 0, 1, 16,8.0,0.0,0.0,0.0,0.0,65232863.0,64579719.0,43095342.0,163154.0,4556659.0,36801.0,Town,161820.0,72.0,1.0101137634247062,0.6673200606524782,0.003785884794695445,729319.78,0.0,0.0,113.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2.0,0.0,0.0,0.0,0.0,533379.0,533379.0,0.0,0.0,0.0,84754.0,Spawn,603323.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13775.95,2999376.0,108212.0,133.0,0.0,64.0,0.0,753, 68, 206, 0, 0, 0, 50, 43, 194, 0, 179, 0, 21, 89, 9, 0, 0, 1, 3,23.0,0.0,0.0,0.0,0.0,204787873.0,204787873.0,0.0,0.0,21300275.0,1866430.0,Spawn,882983.0,248.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
