balance,lw_rev_total,lw_rev_phase,leaderboard_position_chems_all,leaderboard_position_chems_week,leaderboard_position_police_all,leaderboard_position_police_week,mcmmo_power_level,mcmmo_skill_ACROBATICS,mcmmo_skill_ALCHEMY,mcmmo_skill_ARCHERY,mcmmo_skill_AXES,mcmmo_skill_CROSSBOWS,mcmmo_skill_EXCAVATION,mcmmo_skill_FISHING,mcmmo_skill_HERBALISM,mcmmo_skill_MACES,mcmmo_skill_MINING,mcmmo_skill_REPAIR,mcmmo_skill_SALVAGE,mcmmo_skill_SMELTING,mcmmo_skill_SWORDS,mcmmo_skill_TAMING,mcmmo_skill_TRIDENTS,mcmmo_skill_UNARMED,mcmmo_skill_WOODCUTTING,chemrank,policerank,donorrank,goldrank,current_month_votes,plan_player_time_total_raw,plan_player_time_month_raw,plan_player_time_week_raw,plan_player_time_day_raw,plan_player_time_afk_raw,plan_player_latest_session_length_raw,plan_player_favorite_server,plan_player_lastseen,plan_player_sessions_count,plan_player_relativePlaytime_totalmonth,plan_player_relativePlaytime_weekmonth,plan_player_relativePlaytime_dayweek,active
1009239919.63,27741971,11838716,1,2,12,0,25413, 1852, 11, 35, 271, 0, 425, 1373, 17219, 0, 1855, 547, 960, 1201, 1624, 0, 0, 180, 21,143,143,5,0,182,5023058245,801193319,76415387,4488716,1837715316,8560,Underworld-A,124860,7163,6.269470957732737,0.09537696481964798,0.058740996757629456,1
207236607.18,541480,95700,8,18,27,0,13833, 1365, 152, 2, 62, 0, 418, 666, 7882, 0, 2523, 178, 422, 1350, 439, 1, 0, 9, 136,143,0,5,1,49,3668290589,292039891,53060825,28275375,1850732856,575341,Underworld-A,106260,3804,12.560923017876348,0.18169033284565908,0.5328860793250011,1
166446082.13,47568401,22053164,2,1,10,0,18986, 2260, 0, 21, 1, 0, 171, 1380, 10348, 284, 1613, 152, 766, 882, 2748, 0, 1, 4, 3,143,143,4,1,168,4423228830,954569112,186797895,31081613,1531693461,457796,Underworld-B,86220,5416,4.633743931576114,0.19568818292121734,0.16639166624441887,1
90542786.8,0,0,45,0,21,0,7813, 516, 0, 24, 1, 0, 419, 198, 4680, 0, 1350, 59, 128, 704, 502, 0, 0, 1, 63,14,0,4,1,7,2019829998,790500,0,0,1103586713,770103,Underworld-B,1926303,3939,2555.129662239089,0.0,0.0,0
83851268.25,18025947,8309676,57,3,33,0,8187, 1322, 13, 216, 6, 0, 920, 1442, 90, 0, 1301, 461, 951, 881, 2063, 0, 0, 135, 218,9,143,5,1,164,1822976651,1376395431,409526359,72337443,1010484688,34526,Town,83640,1202,1.3244570636764923,0.2975353955530531,0.1766368425628007,1
79559084.91,0,0,26,0,0,0,11191, 181, 4, 0, 15, 0, 277, 161, 8580, 0, 1845, 58, 109, 951, 70, 0, 0, 0, 0,78,0,1,0,0,3652947204,0,0,0,2466784685,243331,Underworld-A,3994263,2515,0.0,0.0,0.0,0
74205315.58,5291714,1491269,44,11,0,0,10087, 1142, 0, 125, 275, 0, 581, 766, 2885, 849, 1987, 388, 577, 1187, 800, 0, 0, 37, 252,92,0,5,1,166,10046199350,2483470357,579665732,88780098,9352310581,2828150,Underworld-B,89160,3427,4.045226197962628,0.23340956350299613,0.15315740279088982,1
76329300.61,273564,0,110,0,61,0,6203, 256, 1355, 1, 5, 0, 273, 108, 2852, 0, 1170, 112, 110, 641, 55, 0, 0, 0, 16,26,0,5,1,7,1199583349,21276689,15304305,265475,900989243,13317,Underworld-A,87180,984,56.38017028871362,0.7192991823116839,0.017346426381335187,1
70457322.96,0,0,19,0,0,0,15708, 1555, 0, 0, 90, 0, 501, 381, 9103, 0, 3584, 97, 239, 1840, 364, 0, 0, 4, 29,105,0,4,0,0,2803455057,18183,0,0,799245460,18183,Underworld-A,1748823,7029,154180.00643458177,0.0,0.0,0
66264178.82,31957250,12287238,10,5,0,0,12845, 842, 3, 10, 27, 0, 381, 993, 7984, 72, 1187, 121, 557, 654, 1216, 0, 0, 6, 3,143,0,4,1,123,7764811845,1761561163,526325691,18084077,6193317290,9990817,Underworld-B,120180,3478,4.407914983647945,0.29878365966223336,0.03435909990568938,1
